time;x;y;z
2025-09-03 17:55:26.914801;0,948104;0,761356;9,526528
2025-09-03 17:55:30.038895;3,265691;0,055067;7,362170
2025-09-03 17:55:33.233899;3,883395;-0,866701;8,743625
2025-09-03 17:55:36.430728;0,505177;1,917756;9,483433
2025-09-03 17:55:39.631051;-1,644817;-6,200983;3,260903
2025-09-03 17:55:42.834242;-2,418144;-2,530671;8,676587
2025-09-03 17:55:46.024365;-2,379837;-2,461239;8,848969
2025-09-03 17:55:49.222124;-2,365471;-2,451663;8,829816
2025-09-03 17:55:52.420246;-2,312799;-2,444480;8,860941
2025-09-03 17:55:55.615091;-1,302446;-4,129998;8,473080
2025-09-03 17:55:58.812457;-1,146823;-3,931279;8,528147
2025-09-03 17:56:06.742220;-1,230620;-3,852271;8,599973
2025-09-03 17:56:06.758808;-1,096544;-3,816358;8,523358
2025-09-03 17:56:08.399613;-1,086968;-3,313575;8,750807
2025-09-03 17:56:11.598069;-1,194707;-3,150769;8,860941
2025-09-03 17:56:14.794233;-1,149217;-3,210624;8,839393
2025-09-03 17:56:17.988663;-1,165976;-3,220201;8,839393
2025-09-03 17:56:21.182487;-3,356671;-0,462081;8,607155
2025-09-03 17:56:24.377604;-2,987964;-6,969521;5,355829
2025-09-03 17:56:33.291245;-3,251326;-9,696517;2,633622
2025-09-03 17:56:33.307335;-1,482011;-7,206547;5,102044
2025-09-03 17:56:33.963111;-0,593762;-6,447585;6,878541
2025-09-03 17:56:37.163433;-2,293645;0,193930;8,109161
2025-09-03 17:56:40.360631;-0,155623;-2,808398;8,643068
2025-09-03 17:56:43.554044;1,156399;-5,542577;3,497929
2025-09-03 17:56:59.468791;5,561730;-4,177882;6,481104
2025-09-03 17:56:59.477042;8,834604;-6,033388;-5,884948
2025-09-03 17:56:59.525728;1,470040;-6,914454;7,007828
2025-09-03 17:56:59.531093;-0,864307;-8,135497;4,668694
2025-09-03 17:56:59.582137;3,734955;-7,941567;1,364695
2025-09-03 17:57:02.725115;-2,851494;-7,508216;2,427721
2025-09-03 17:57:05.919615;3,703830;-9,227253;2,214637
2025-09-03 17:57:09.115828;3,378219;-8,949526;-2,190695
2025-09-03 17:57:25.300676;-1,448492;-8,226477;0,916979
2025-09-03 17:57:25.332672;4,280833;-6,438008;5,106832
2025-09-03 17:57:25.339928;8,662222;-3,289633;2,458845
2025-09-03 17:57:25.348551;2,861071;-7,584831;5,276821
2025-09-03 17:57:25.357444;2,810793;-9,311050;4,771644
2025-09-03 17:57:28.278042;-5,085284;4,065354;6,684611
2025-09-03 17:57:31.473056;4,917690;-5,947197;0,536301
2025-09-03 17:57:34.669444;2,188300;-1,199495;9,524135
2025-09-03 17:57:51.381381;2,621651;-0,938527;6,847417
2025-09-03 17:57:51.386170;1,965640;-0,928950;6,361394
2025-09-03 17:57:51.400467;-3,742137;-12,686874;-4,438850
2025-09-03 17:57:51.411288;-1,225831;-6,957550;2,856283
2025-09-03 17:57:51.461425;-0,409408;-13,706804;2,827552
2025-09-03 17:57:53.856046;-2,650381;-5,300763;5,930438
2025-09-03 17:57:57.053383;-5,746084;-2,947262;-10,285490
2025-09-03 17:58:00.251171;-2,959233;-9,995792;-9,861717
2025-09-03 22:01:53.788883;-3,337517;-7,424419;-4,434062
2025-09-03 22:01:53.790705;4,697424;-6,330269;6,141128
2025-09-03 22:01:53.793178;3,548207;1,991976;7,120356
2025-09-03 22:01:53.796806;-3,208230;-0,086191;7,280767
2025-09-03 22:01:53.799571;-0,852336;-10,268731;0,507571
2025-09-03 22:01:53.801508;0,299275;-8,683769;3,524265
2025-09-03 22:01:53.803030;5,774815;-6,775591;3,940856
2025-09-03 22:01:53.804614;2,343924;-10,474632;4,460398
2025-09-03 22:01:53.807103;-0,773327;-9,720459;-1,335965
2025-09-03 22:01:53.808795;0,677559;-5,013458;8,836999
2025-09-03 22:01:53.811201;0,768539;-7,951144;0,146046
2025-09-03 22:01:53.812810;-0,438139;-7,110779;1,680730
2025-09-03 22:01:53.814246;4,505888;-10,656591;2,712631
2025-09-03 22:01:53.815687;7,096414;-7,247249;-1,410185
2025-09-03 22:01:53.817102;-7,182605;5,506664;7,666234
2025-09-03 22:01:53.819633;-1,958457;-7,402872;-4,678270
2025-09-03 22:01:53.821341;-2,533065;-9,255983;1,074997
2025-09-03 22:01:56.239444;-1,223437;0,593762;9,509769
2025-09-03 22:01:57.869395;-1,680730;-0,215478;9,308656
2025-09-03 22:01:58.269587;-1,513135;-0,016759;9,433155
2025-09-03 22:01:58.669808;-1,532289;0,045490;9,291897
2025-09-03 22:02:01.810861;-0,821211;4,378995;8,092402
2025-09-03 22:02:04.998935;-3,394978;5,015852;7,513005
2025-09-03 22:02:08.195451;-3,426103;4,601655;7,630321
2025-09-03 22:02:11.390243;-3,191471;4,096479;7,843405
2025-09-03 22:02:14.581482;-1,975216;-1,350330;9,172187
2025-09-03 22:02:17.775403;-1,819593;-2,741361;8,875306
2025-09-03 22:02:18.519620;-2,003947;-2,885013;8,803479
2025-09-03 22:02:18.918467;-1,958457;-2,906561;8,769960
2025-09-03 22:02:19.317322;-1,999158;-2,920926;8,791509
2025-09-03 22:02:19.716600;-1,944092;-2,659958;8,822633
2025-09-03 22:02:20.115520;-1,757344;-2,439692;9,035717
2025-09-03 22:02:20.515008;-2,023100;-1,764527;8,971074
2025-09-03 22:02:20.914792;-1,958457;-1,800440;9,172187
2025-09-03 22:02:21.312036;-1,867477;-1,647211;9,141062
2025-09-03 22:02:21.712994;-1,642422;-1,623269;9,009381
2025-09-03 22:02:22.112668;-1,551443;1,517924;8,145074
2025-09-03 22:02:22.514623;0,155623;-3,658340;8,585608
2025-09-03 22:02:22.914126;1,000776;3,368642;9,648633
2025-09-03 22:02:23.312592;0,445322;1,297657;9,169792
2025-09-03 22:02:23.712723;-0,086191;-0,483629;9,531317
2025-09-03 22:02:24.111449;0,268151;2,056619;9,813833
2025-09-03 22:02:24.512118;-1,151611;0,079009;7,881712
2025-09-03 22:02:24.911370;-1,462857;1,963245;10,158598
2025-09-03 22:02:25.310901;-1,537078;3,047819;8,494628
2025-09-03 22:02:25.708431;-1,723825;1,053449;9,332599
2025-09-03 22:02:26.108703;-1,924938;0,328006;9,251195
2025-09-03 22:02:26.508712;-1,927332;0,778116;9,184157
2025-09-03 22:02:26.907712;-1,939303;1,036689;9,291897
2025-09-03 22:02:27.308465;-1,893813;1,249773;9,277532
2025-09-03 22:02:27.707837;-1,924938;1,218649;9,220071
2025-09-03 22:02:28.108002;-1,900996;1,017536;9,323022
2025-09-03 22:02:28.506812;-1,922544;0,984017;9,208099
2025-09-03 22:02:28.903786;-1,889025;1,096544;9,339781
2025-09-03 22:02:29.306040;-1,826776;0,890643;9,248801
2025-09-03 22:02:29.706489;-1,754950;1,086968;9,296685
2025-09-03 22:02:30.104657;-1,912967;0,984017;9,311050
2025-09-03 22:02:30.502315;-1,956063;0,912191;9,291897
2025-09-03 22:02:30.901211;-1,922544;0,775721;9,334992
2025-09-03 22:02:31.300567;-1,884237;0,689530;9,308656
2025-09-03 22:02:31.701750;-2,032677;0,840365;9,284714
2025-09-03 22:02:32.101256;-1,821988;0,890643;9,217676
2025-09-03 22:02:32.502543;-1,836353;0,921768;9,334992
2025-09-03 22:02:32.899179;-1,920150;0,964863;9,284714
2025-09-03 22:02:33.297293;-1,987187;0,993594;9,246407
2025-09-03 22:02:33.696935;-1,965640;0,914585;9,334992
2025-09-03 22:02:34.094846;-1,982399;0,837971;9,284714
2025-09-03 22:02:34.494911;-1,960851;0,902614;9,375694
2025-09-03 22:02:34.893711;-1,812411;0,739808;9,397242
2025-09-03 22:02:35.293171;-2,087744;1,072602;9,208099
2025-09-03 22:02:35.693443;-1,874660;1,077391;9,208099
2025-09-03 22:02:36.092596;-1,726219;0,979228;9,315839
2025-09-03 22:02:36.494986;-1,695095;0,909797;9,356541
2025-09-03 22:02:36.891732;-1,826776;0,806846;9,315839
2025-09-03 22:02:37.292529;-1,735796;0,739808;9,425972
2025-09-03 22:02:37.692031;-1,817199;0,730232;9,318233
2025-09-03 22:02:38.092666;-1,802834;0,845153;9,284714
2025-09-03 22:02:38.491575;-1,556231;0,742203;9,325416
